yourlist:M20191118DA437993067D6F64326E5E763500BDED055040M	isomap:M20191118DA437993067D6F64326E5E763500BDED055040M	Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)	Gene names
NM_014293		O95502	NPTXR_HUMAN	Neuronal pentraxin receptor	GO:0016021; GO:0046872; GO:0098962; GO:0098978	glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; metal ion binding [GO:0046872]; regulation of postsynaptic neurotransmitter receptor activity [GO:0098962]	NPTXR
NM_003655		A0A0S2Z5B2	A0A0S2Z5B2_HUMAN	Chromobox homolog 4 (Pc class homolog, Drosophila), isoform CRA_a (Chromobox-like protein 4 isoform 2) (Fragment)	GO:0000122; GO:0003682; GO:0003727; GO:0005654; GO:0016604; GO:0016925; GO:0032183; GO:0035064; GO:0044212; GO:0051219	nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; chromatin binding [GO:0003682]; methylated histone binding [GO:0035064]; phosphoprotein binding [GO:0051219]; single-stranded RNA binding [GO:0003727]; SUMO binding [GO:0032183]; transcription regulatory region DNA binding [GO:0044212]; negative regulation of transcription by RNA polymerase II [GO:0000122]; protein sumoylation [GO:0016925]	CBX4 hCG_28566
NM_003655	NM_003655 -> O00257-1	O00257	CBX4_HUMAN	E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2)	GO:0000122; GO:0003682; GO:0003714; GO:0003727; GO:0005634; GO:0005654; GO:0006325; GO:0016604; GO:0016607; GO:0019789; GO:0019899; GO:0031519; GO:0032183; GO:0035064; GO:0035102; GO:0043066; GO:0044212; GO:0045892; GO:0051219	nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PcG protein complex [GO:0031519]; PRC1 complex [GO:0035102]; chromatin binding [GO:0003682]; enzyme binding [GO:0019899]; methylated histone binding [GO:0035064]; phosphoprotein binding [GO:0051219]; single-stranded RNA binding [GO:0003727]; SUMO binding [GO:0032183]; SUMO transferase activity [GO:0019789]; transcription corepressor activity [GO:0003714]; transcription regulatory region DNA binding [GO:0044212]; chromatin organization [GO:0006325]; negative regulation of apoptotic process [GO:0043066]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]	CBX4
NM_025231		Q9H4T2	ZSC16_HUMAN	Zinc finger and SCAN domain-containing protein 16 (Zinc finger protein 392) (Zinc finger protein 435)	GO:0003677; GO:0003700; GO:0005634; GO:0046872	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]	ZSCAN16 ZNF392 ZNF435
NM_014653	NM_014653 -> Q2TBF2-1	Q2TBF2	WSCD2_HUMAN	WSC domain-containing protein 2	GO:0016021	integral component of membrane [GO:0016021]	WSCD2 KIAA0789
NM_175929	NM_175929 -> Q92915-2	Q92915	FGF14_HUMAN	Fibroblast growth factor 14 (FGF-14) (Fibroblast growth factor homologous factor 4) (FHF-4)	GO:0005576; GO:0005634; GO:0007165; GO:0007254; GO:0007267; GO:0007399; GO:0008083; GO:0008201; GO:0048167; GO:0060078; GO:1901843; GO:1903421	extracellular region [GO:0005576]; nucleus [GO:0005634]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; cell-cell signaling [GO:0007267]; JNK cascade [GO:0007254]; nervous system development [GO:0007399]; positive regulation of high voltage-gated calcium channel activity [GO:1901843]; regulation of postsynaptic membrane potential [GO:0060078]; regulation of synaptic plasticity [GO:0048167]; regulation of synaptic vesicle recycling [GO:1903421]; signal transduction [GO:0007165]	FGF14 FHF4
NM_032726	NM_032726 -> Q9BRC7-1	Q9BRC7	PLCD4_HUMAN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 (hPLCD4) (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-4) (Phospholipase C-delta-4) (PLC-delta-4)	GO:0001965; GO:0004435; GO:0005085; GO:0005509; GO:0005623; GO:0005789; GO:0005829; GO:0005886; GO:0007264; GO:0007340; GO:0016042; GO:0031965; GO:0032959; GO:0043647; GO:0046488; GO:0048015; GO:0051209	cell [GO:0005623]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; nuclear membrane [GO:0031965]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; G-protein alpha-subunit binding [GO:0001965]; guanyl-nucleotide exchange factor activity [GO:0005085]; phosphatidylinositol phospholipase C activity [GO:0004435]; acrosome reaction [GO:0007340]; inositol phosphate metabolic process [GO:0043647]; inositol trisphosphate biosynthetic process [GO:0032959]; lipid catabolic process [GO:0016042]; phosphatidylinositol metabolic process [GO:0046488]; phosphatidylinositol-mediated signaling [GO:0048015]; release of sequestered calcium ion into cytosol [GO:0051209]; small GTPase mediated signal transduction [GO:0007264]	PLCD4
NM_152749,NM_020725	NM_020725 -> Q9ULK2-1,NM_152749 -> Q9ULK2-2	Q9ULK2	AT7L1_HUMAN	Ataxin-7-like protein 1 (Ataxin-7-like protein 4)			ATXN7L1 ATXN7L4 KIAA1218
NM_001017969	NM_001017969 -> Q5HYC2-1	Q5HYC2	K2026_HUMAN	Uncharacterized protein KIAA2026			KIAA2026
NM_012082	NM_012082 -> Q8WW38-1	Q8WW38	FOG2_HUMAN	Zinc finger protein ZFPM2 (Friend of GATA protein 2) (FOG-2) (Friend of GATA 2) (hFOG-2) (Zinc finger protein 89B) (Zinc finger protein multitype 2)	GO:0000122; GO:0000790; GO:0000981; GO:0001085; GO:0001570; GO:0001701; GO:0003148; GO:0003221; GO:0003677; GO:0003713; GO:0003714; GO:0005634; GO:0005654; GO:0005737; GO:0007506; GO:0007507; GO:0007596; GO:0008134; GO:0008270; GO:0030324; GO:0045599; GO:0045892; GO:0045944; GO:0048568; GO:0060045; GO:0060412; GO:0060548; GO:2000020; GO:2000195	cytoplasm [GO:0005737]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription factor binding [GO:0001085]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; zinc ion binding [GO:0008270]; blood coagulation [GO:0007596]; embryonic organ development [GO:0048568]; gonadal mesoderm development [GO:0007506]; heart development [GO:0007507]; in utero embryonic development [GO:0001701]; lung development [GO:0030324]; negative regulation of cell death [GO:0060548]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of female gonad development [GO:2000195]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; outflow tract septum morphogenesis [GO:0003148]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of male gonad development [GO:2000020]; positive regulation of transcription by RNA polymerase II [GO:0045944]; right ventricular cardiac muscle tissue morphogenesis [GO:0003221]; vasculogenesis [GO:0001570]; ventricular septum morphogenesis [GO:0060412]	ZFPM2 FOG2 ZNF89B
NM_012082		Q9NPQ0	Q9NPQ0_HUMAN	FOG2, frind of GATA2 (Fragment)	GO:0001085; GO:0006357	RNA polymerase II transcription factor binding [GO:0001085]; regulation of transcription by RNA polymerase II [GO:0006357]	
NM_001024843		A0A024R1N5	A0A024R1N5_HUMAN	Trinucleotide repeat containing 6B, isoform CRA_a	GO:0003676; GO:0035278	nucleic acid binding [GO:0003676]; miRNA mediated inhibition of translation [GO:0035278]	TNRC6B hCG_41115
NM_001024843	NM_001024843 -> Q9UPQ9-2	Q9UPQ9	TNR6B_HUMAN	Trinucleotide repeat-containing gene 6B protein	GO:0000932; GO:0003723; GO:0005654; GO:0005829; GO:0007223; GO:0010628; GO:0010629; GO:0031047; GO:0035194; GO:0035195; GO:0035278; GO:0045652; GO:0060213; GO:1900153	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; P-body [GO:0000932]; RNA binding [GO:0003723]; gene silencing by miRNA [GO:0035195]; gene silencing by RNA [GO:0031047]; miRNA mediated inhibition of translation [GO:0035278]; negative regulation of gene expression [GO:0010629]; positive regulation of gene expression [GO:0010628]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; posttranscriptional gene silencing by RNA [GO:0035194]; regulation of megakaryocyte differentiation [GO:0045652]; Wnt signaling pathway, calcium modulating pathway [GO:0007223]	TNRC6B KIAA1093
NM_006143		Q15760	GPR19_HUMAN	Probable G-protein coupled receptor 19 (GPR-NGA)	GO:0004930; GO:0005887; GO:0005929; GO:0007186	cilium [GO:0005929]; integral component of plasma membrane [GO:0005887]; G protein-coupled receptor activity [GO:0004930]; G protein-coupled receptor signaling pathway [GO:0007186]	GPR19
NM_006143		Q6IBH2	Q6IBH2_HUMAN	G protein-coupled receptor 19 (GPR19 protein) (HCG2039474, isoform CRA_a) (cDNA FLJ90248 fis, clone NT2RM2001939, highly similar to Probable G-protein coupled receptor 19)	GO:0004930; GO:0016021	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GPR19 hCG_2039474
NM_003316	NM_003316 -> P53804-1	P53804	TTC3_HUMAN	E3 ubiquitin-protein ligase TTC3 (EC 2.3.2.27) (Protein DCRR1) (RING finger protein 105) (RING-type E3 ubiquitin transferase TTC3) (TPR repeat protein D) (Tetratricopeptide repeat protein 3) (TPR repeat protein 3)	GO:0004842; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006511; GO:0046872; GO:0070936	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]; protein K48-linked ubiquitination [GO:0070936]; ubiquitin-dependent protein catabolic process [GO:0006511]	TTC3 DCRR1 RNF105 TPRD
NM_006181		O00634	NET3_HUMAN	Netrin-3 (Netrin-2-like protein)	GO:0005102; GO:0005604; GO:0005794; GO:0007411; GO:0008045; GO:0009887; GO:0009888; GO:0016358	basement membrane [GO:0005604]; Golgi apparatus [GO:0005794]; signaling receptor binding [GO:0005102]; animal organ morphogenesis [GO:0009887]; axon guidance [GO:0007411]; dendrite development [GO:0016358]; motor neuron axon guidance [GO:0008045]; tissue development [GO:0009888]	NTN3 NTN2L
NM_022783	NM_022783 -> Q8TB45-1	Q8TB45	DPTOR_HUMAN	DEP domain-containing mTOR-interacting protein (DEP domain-containing protein 6)	GO:0005622; GO:0006469; GO:0032007; GO:0035556; GO:0045792; GO:2001236	intracellular [GO:0005622]; intracellular signal transduction [GO:0035556]; negative regulation of cell size [GO:0045792]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of TOR signaling [GO:0032007]; regulation of extrinsic apoptotic signaling pathway [GO:2001236]	DEPTOR DEPDC6
NM_001127715	NM_001127715 -> Q5T5C0-1	Q5T5C0	STXB5_HUMAN	Syntaxin-binding protein 5 (Lethal(2) giant larvae protein homolog 3) (Tomosyn-1)	GO:0005096; GO:0005737; GO:0005829; GO:0005886; GO:0005892; GO:0006887; GO:0008021; GO:0015031; GO:0017075; GO:0017137; GO:0017157; GO:0019905; GO:0030054; GO:0030659; GO:0031201; GO:0031594; GO:0045159; GO:0045921; GO:0098685; GO:0098888; GO:0099504; GO:0099523	acetylcholine-gated channel complex [GO:0005892]; cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; extrinsic component of presynaptic membrane [GO:0098888]; neuromuscular junction [GO:0031594]; plasma membrane [GO:0005886]; presynaptic cytosol [GO:0099523]; Schaffer collateral - CA1 synapse [GO:0098685]; SNARE complex [GO:0031201]; synaptic vesicle [GO:0008021]; GTPase activator activity [GO:0005096]; myosin II binding [GO:0045159]; Rab GTPase binding [GO:0017137]; syntaxin binding [GO:0019905]; syntaxin-1 binding [GO:0017075]; exocytosis [GO:0006887]; positive regulation of exocytosis [GO:0045921]; protein transport [GO:0015031]; regulation of exocytosis [GO:0017157]; synaptic vesicle cycle [GO:0099504]	STXBP5 LLGL3
NM_024532		B4DYB5	B4DYB5_HUMAN	cDNA FLJ53372, highly similar to Sperm-associated antigen 16 protein			
NM_024532		Q4G1A2	Q4G1A2_HUMAN	SPAG16 protein			SPAG16
NM_024532	NM_024532 -> Q8N0X2-1	Q8N0X2	SPG16_HUMAN	Sperm-associated antigen 16 protein (Pf20 protein homolog)	GO:0005930; GO:0007288; GO:0035082; GO:0036126; GO:0060271; GO:1990716	axonemal central apparatus [GO:1990716]; axoneme [GO:0005930]; sperm flagellum [GO:0036126]; axoneme assembly [GO:0035082]; cilium assembly [GO:0060271]; sperm axoneme assembly [GO:0007288]	SPAG16 PF20
NM_020856		Q63HK5	TSH3_HUMAN	Teashirt homolog 3 (Zinc finger protein 537)	GO:0000790; GO:0000981; GO:0002087; GO:0003677; GO:0003682; GO:0005634; GO:0005654; GO:0005886; GO:0006357; GO:0007275; GO:0030426; GO:0045892; GO:0046872; GO:0051968; GO:0060291	growth cone [GO:0030426]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; long-term synaptic potentiation [GO:0060291]; multicellular organism development [GO:0007275]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; regulation of respiratory gaseous exchange by nervous system process [GO:0002087]; regulation of transcription by RNA polymerase II [GO:0006357]	TSHZ3 KIAA1474 TSH3 ZNF537
NM_005486	NM_005486 -> O75674-1	O75674	TM1L1_HUMAN	TOM1-like protein 1 (Src-activating and signaling molecule protein) (Target of Myb-like protein 1)	GO:0005737; GO:0005764; GO:0005768; GO:0005795; GO:0005829; GO:0006886; GO:0007165; GO:0010008; GO:0017124; GO:0019901; GO:0030276; GO:0030295; GO:0031954; GO:0032147; GO:0043130; GO:0043162; GO:0045839; GO:0070062	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; Golgi stack [GO:0005795]; lysosome [GO:0005764]; clathrin binding [GO:0030276]; protein kinase activator activity [GO:0030295]; protein kinase binding [GO:0019901]; SH3 domain binding [GO:0017124]; ubiquitin binding [GO:0043130]; activation of protein kinase activity [GO:0032147]; intracellular protein transport [GO:0006886]; negative regulation of mitotic nuclear division [GO:0045839]; positive regulation of protein autophosphorylation [GO:0031954]; signal transduction [GO:0007165]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]	TOM1L1 SRCASM
NM_152356		Q8N8L2	ZN491_HUMAN	Zinc finger protein 491	GO:0003700; GO:0005634; GO:0043565; GO:0046872	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]	ZNF491
NM_002825		A0A024R778	A0A024R778_HUMAN	Pleiotrophin (Heparin binding growth factor 8, neurite growth-promoting factor 1), isoform CRA_a	GO:0001889; GO:0002232; GO:0002690; GO:0005604; GO:0007406; GO:0007507; GO:0007612; GO:0007613; GO:0008083; GO:0008201; GO:0008360; GO:0009986; GO:0010811; GO:0010996; GO:0014823; GO:0016020; GO:0016525; GO:0021510; GO:0021549; GO:0021794; GO:0030282; GO:0030324; GO:0030336; GO:0030501; GO:0031104; GO:0031594; GO:0031641; GO:0032355; GO:0032570; GO:0034644; GO:0035373; GO:0036120; GO:0038085; GO:0042246; GO:0043065; GO:0044849; GO:0045446; GO:0045545; GO:0045837; GO:0046697; GO:0048471; GO:0048477; GO:0048680; GO:0050680; GO:0060221; GO:0060253; GO:0060291; GO:0071305; GO:0071456; GO:0072201; GO:0098793; GO:0098794; GO:0140059; GO:1900006; GO:1900272; GO:1903706; GO:1904373; GO:1904389; GO:1904391; GO:1904395; GO:1904397; GO:1904399; GO:1990089; GO:2000036; GO:2000347; GO:2000738	basement membrane [GO:0005604]; cell surface [GO:0009986]; membrane [GO:0016020]; neuromuscular junction [GO:0031594]; perinuclear region of cytoplasm [GO:0048471]; postsynapse [GO:0098794]; presynapse [GO:0098793]; chondroitin sulfate proteoglycan binding [GO:0035373]; growth factor activity [GO:0008083]; heparan sulfate binding [GO:1904399]; heparin binding [GO:0008201]; syndecan binding [GO:0045545]; vascular endothelial growth factor binding [GO:0038085]; bone mineralization [GO:0030282]; cellular response to hypoxia [GO:0071456]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; cellular response to UV [GO:0034644]; cellular response to vitamin D [GO:0071305]; cerebellum development [GO:0021549]; decidualization [GO:0046697]; dendrite arborization [GO:0140059]; dendrite regeneration [GO:0031104]; endothelial cell differentiation [GO:0045446]; estrous cycle [GO:0044849]; heart development [GO:0007507]; learning [GO:0007612]; leukocyte chemotaxis involved in inflammatory response [GO:0002232]; liver development [GO:0001889]; long-term synaptic potentiation [GO:0060291]; lung development [GO:0030324]; memory [GO:0007613]; negative regulation of angiogenesis [GO:0016525]; negative regulation of cell migration [GO:0030336]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of glial cell proliferation [GO:0060253]; negative regulation of long-term synaptic potentiation [GO:1900272]; negative regulation of membrane potential [GO:0045837]; negative regulation of mesenchymal cell proliferation [GO:0072201]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of neuromuscular junction development [GO:1904397]; oogenesis [GO:0048477]; positive regulation of apoptotic process [GO:0043065]; positive regulation of axon regeneration [GO:0048680]; positive regulation of bone mineralization [GO:0030501]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of dendrite development [GO:1900006]; positive regulation of hepatocyte proliferation [GO:2000347]; positive regulation of leukocyte chemotaxis [GO:0002690]; positive regulation of skeletal muscle acetylcholine-gated channel clustering [GO:1904395]; positive regulation of stem cell differentiation [GO:2000738]; regulation of cell shape [GO:0008360]; regulation of hemopoiesis [GO:1903706]; regulation of myelination [GO:0031641]; regulation of stem cell population maintenance [GO:2000036]; response to activity [GO:0014823]; response to auditory stimulus [GO:0010996]; response to ciliary neurotrophic factor [GO:1904391]; response to estradiol [GO:0032355]; response to kainic acid [GO:1904373]; response to nerve growth factor [GO:1990089]; response to progesterone [GO:0032570]; retinal rod cell differentiation [GO:0060221]; rod bipolar cell differentiation [GO:1904389]; spinal cord development [GO:0021510]; thalamus development [GO:0021794]; tissue regeneration [GO:0042246]	PTN hCG_18946
NM_002825		P21246	PTN_HUMAN	Pleiotrophin (PTN) (Heparin-binding brain mitogen) (HBBM) (Heparin-binding growth factor 8) (HBGF-8) (Heparin-binding growth-associated molecule) (HB-GAM) (Heparin-binding neurite outgrowth-promoting factor) (HBNF) (Heparin-binding neurite outgrowth-promoting factor 1) (HBNF-1) (Osteoblast-specific factor 1) (OSF-1)	GO:0001889; GO:0002232; GO:0002690; GO:0004864; GO:0005178; GO:0005576; GO:0005604; GO:0005615; GO:0005783; GO:0005886; GO:0007185; GO:0007229; GO:0007399; GO:0007406; GO:0007507; GO:0007612; GO:0007613; GO:0008083; GO:0008201; GO:0008284; GO:0008360; GO:0009986; GO:0010594; GO:0010811; GO:0010976; GO:0010996; GO:0014823; GO:0016525; GO:0019901; GO:0021510; GO:0021549; GO:0021794; GO:0030282; GO:0030324; GO:0030336; GO:0030501; GO:0031104; GO:0031594; GO:0031641; GO:0032355; GO:0032570; GO:0032991; GO:0034644; GO:0035373; GO:0035374; GO:0036120; GO:0038085; GO:0042246; GO:0043065; GO:0043113; GO:0043932; GO:0044849; GO:0045446; GO:0045545; GO:0045778; GO:0045837; GO:0046697; GO:0048167; GO:0048471; GO:0048477; GO:0048680; GO:0048714; GO:0050680; GO:0051781; GO:0060221; GO:0060253; GO:0060291; GO:0071305; GO:0071456; GO:0072201; GO:0098793; GO:0098794; GO:0140059; GO:1900006; GO:1900272; GO:1903706; GO:1904373; GO:1904389; GO:1904391; GO:1904395; GO:1904397; GO:1904399; GO:1990089; GO:2000036; GO:2000347; GO:2000738	basement membrane [GO:0005604]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; neuromuscular junction [GO:0031594]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynapse [GO:0098793]; protein-containing complex [GO:0032991]; chondroitin sulfate binding [GO:0035374]; chondroitin sulfate proteoglycan binding [GO:0035373]; growth factor activity [GO:0008083]; heparan sulfate binding [GO:1904399]; heparin binding [GO:0008201]; integrin binding [GO:0005178]; protein kinase binding [GO:0019901]; protein phosphatase inhibitor activity [GO:0004864]; syndecan binding [GO:0045545]; vascular endothelial growth factor binding [GO:0038085]; bone mineralization [GO:0030282]; cellular response to hypoxia [GO:0071456]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; cellular response to UV [GO:0034644]; cellular response to vitamin D [GO:0071305]; cerebellum development [GO:0021549]; decidualization [GO:0046697]; dendrite arborization [GO:0140059]; dendrite regeneration [GO:0031104]; endothelial cell differentiation [GO:0045446]; estrous cycle [GO:0044849]; heart development [GO:0007507]; integrin-mediated signaling pathway [GO:0007229]; learning [GO:0007612]; leukocyte chemotaxis involved in inflammatory response [GO:0002232]; liver development [GO:0001889]; long-term synaptic potentiation [GO:0060291]; lung development [GO:0030324]; memory [GO:0007613]; negative regulation of angiogenesis [GO:0016525]; negative regulation of cell migration [GO:0030336]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of glial cell proliferation [GO:0060253]; negative regulation of long-term synaptic potentiation [GO:1900272]; negative regulation of membrane potential [GO:0045837]; negative regulation of mesenchymal cell proliferation [GO:0072201]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of neuromuscular junction development [GO:1904397]; nervous system development [GO:0007399]; oogenesis [GO:0048477]; ossification involved in bone remodeling [GO:0043932]; positive regulation of apoptotic process [GO:0043065]; positive regulation of axon regeneration [GO:0048680]; positive regulation of bone mineralization [GO:0030501]; positive regulation of cell division [GO:0051781]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of dendrite development [GO:1900006]; positive regulation of hepatocyte proliferation [GO:2000347]; positive regulation of leukocyte chemotaxis [GO:0002690]; positive regulation of neuron projection development [GO:0010976]; positive regulation of oligodendrocyte differentiation [GO:0048714]; positive regulation of ossification [GO:0045778]; positive regulation of skeletal muscle acetylcholine-gated channel clustering [GO:1904395]; positive regulation of stem cell differentiation [GO:2000738]; receptor clustering [GO:0043113]; regulation of cell shape [GO:0008360]; regulation of endothelial cell migration [GO:0010594]; regulation of hemopoiesis [GO:1903706]; regulation of myelination [GO:0031641]; regulation of stem cell population maintenance [GO:2000036]; regulation of synaptic plasticity [GO:0048167]; response to activity [GO:0014823]; response to auditory stimulus [GO:0010996]; response to ciliary neurotrophic factor [GO:1904391]; response to estradiol [GO:0032355]; response to kainic acid [GO:1904373]; response to nerve growth factor [GO:1990089]; response to progesterone [GO:0032570]; retinal rod cell differentiation [GO:0060221]; rod bipolar cell differentiation [GO:1904389]; spinal cord development [GO:0021510]; thalamus development [GO:0021794]; tissue regeneration [GO:0042246]; transmembrane receptor protein tyrosine phosphatase signaling pathway [GO:0007185]	PTN HBNF1 NEGF1
NM_033064		A0A0S2Z5T8	A0A0S2Z5T8_HUMAN	Ataxia cerebellar Cayman type isoform 1 (Ataxia, cerebellar, Cayman type (Caytaxin)) (Fragment)	GO:0016021; GO:0030424; GO:0030425; GO:0031175; GO:0031966; GO:0044306; GO:0045202; GO:0048311; GO:0048471	axon [GO:0030424]; dendrite [GO:0030425]; integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; neuron projection terminus [GO:0044306]; perinuclear region of cytoplasm [GO:0048471]; synapse [GO:0045202]; mitochondrion distribution [GO:0048311]; neuron projection development [GO:0031175]	ATCAY hCG_23529
NM_033064	NM_033064 -> Q86WG3-1	Q86WG3	ATCAY_HUMAN	Caytaxin (Ataxia cayman type protein) (BNIP-2-homology) (BNIP-H)	GO:0004309; GO:0005737; GO:0006798; GO:0006915; GO:0019894; GO:0030054; GO:0030424; GO:0030425; GO:0030426; GO:0031175; GO:0031966; GO:0032880; GO:0043005; GO:0044306; GO:0045202; GO:0048311; GO:0048471; GO:2000212	axon [GO:0030424]; cell junction [GO:0030054]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; growth cone [GO:0030426]; mitochondrial membrane [GO:0031966]; neuron projection [GO:0043005]; neuron projection terminus [GO:0044306]; perinuclear region of cytoplasm [GO:0048471]; synapse [GO:0045202]; exopolyphosphatase activity [GO:0004309]; kinesin binding [GO:0019894]; apoptotic process [GO:0006915]; mitochondrion distribution [GO:0048311]; negative regulation of glutamate metabolic process [GO:2000212]; neuron projection development [GO:0031175]; polyphosphate catabolic process [GO:0006798]; regulation of protein localization [GO:0032880]	ATCAY KIAA1872
NM_024721	NM_024721 -> Q86UP3-5	Q86UP3	ZFHX4_HUMAN	Zinc finger homeobox protein 4 (Zinc finger homeodomain protein 4) (ZFH-4)	GO:0000122; GO:0000790; GO:0000978; GO:0000981; GO:0005634; GO:0008270; GO:0044212; GO:0045893	nuclear chromatin [GO:0000790]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; transcription regulatory region DNA binding [GO:0044212]; zinc ion binding [GO:0008270]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription, DNA-templated [GO:0045893]	ZFHX4
NM_004717		O75912	DGKI_HUMAN	Diacylglycerol kinase iota (DAG kinase iota) (EC 2.7.1.107) (Diglyceride kinase iota) (DGK-iota)	GO:0003951; GO:0004143; GO:0005095; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0007205; GO:0007269; GO:0008021; GO:0017016; GO:0030168; GO:0032045; GO:0032991; GO:0035556; GO:0043025; GO:0043197; GO:0043679; GO:0045202; GO:0046339; GO:0046486; GO:0046579; GO:0046834; GO:0046872; GO:0046959; GO:0048471; GO:0051966; GO:0060076; GO:0060079; GO:0098685; GO:0098891; GO:0098978; GO:0099147; GO:1900452; GO:2000300	axon terminus [GO:0043679]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; excitatory synapse [GO:0060076]; extrinsic component of postsynaptic density membrane [GO:0099147]; extrinsic component of presynaptic active zone membrane [GO:0098891]; glutamatergic synapse [GO:0098978]; guanyl-nucleotide exchange factor complex [GO:0032045]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; Schaffer collateral - CA1 synapse [GO:0098685]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; ATP binding [GO:0005524]; diacylglycerol kinase activity [GO:0004143]; GTPase inhibitor activity [GO:0005095]; metal ion binding [GO:0046872]; NAD+ kinase activity [GO:0003951]; Ras GTPase binding [GO:0017016]; diacylglycerol metabolic process [GO:0046339]; excitatory postsynaptic potential [GO:0060079]; glycerolipid metabolic process [GO:0046486]; habituation [GO:0046959]; intracellular signal transduction [GO:0035556]; lipid phosphorylation [GO:0046834]; neurotransmitter secretion [GO:0007269]; platelet activation [GO:0030168]; positive regulation of Ras protein signal transduction [GO:0046579]; protein kinase C-activating G protein-coupled receptor signaling pathway [GO:0007205]; regulation of long-term synaptic depression [GO:1900452]; regulation of synaptic transmission, glutamatergic [GO:0051966]; regulation of synaptic vesicle exocytosis [GO:2000300]	DGKI
