Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)	Gene names
A0A1S3NQ06	A0A1S3NQ06_SALSA	apolipoprotein A-I isoform X1	GO:0005576; GO:0006869; GO:0008289; GO:0042157	extracellular region [GO:0005576]; lipid binding [GO:0008289]; lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157]	LOC100136573 apoa1
P27007	APOA1_SALSA	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I)]	GO:0006869; GO:0008203; GO:0008289; GO:0034364; GO:0042157	high-density lipoprotein particle [GO:0034364]; lipid binding [GO:0008289]; cholesterol metabolic process [GO:0008203]; lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157]	apoa1
A0A1S3NR63	A0A1S3NR63_SALSA	bifunctional polynucleotide phosphatase/kinase-like	GO:0016301	kinase activity [GO:0016301]	LOC106580891
A0A1S3NRD5	A0A1S3NRD5_SALSA	complement C2-like	GO:0004252; GO:0005576; GO:0006956	extracellular region [GO:0005576]; serine-type endopeptidase activity [GO:0004252]; complement activation [GO:0006956]	LOC106580826
A0A1S3NR20	A0A1S3NR20_SALSA	kinesin light chain 1-like	GO:0003777; GO:0005871	kinesin complex [GO:0005871]; microtubule motor activity [GO:0003777]	LOC106580868
A0A1S3NRP2	A0A1S3NRP2_SALSA	frizzled-9-like	GO:0004888; GO:0007275; GO:0016021; GO:0016055	integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; multicellular organism development [GO:0007275]; Wnt signaling pathway [GO:0016055]	LOC106580877
A0A1S3NRC3	A0A1S3NRC3_SALSA	alpha-2-macroglobulin-like	GO:0004866; GO:0005615	extracellular space [GO:0005615]; endopeptidase inhibitor activity [GO:0004866]	LOC106580937
A0A1S3NRM3	A0A1S3NRM3_SALSA	serine/threonine-protein kinase DCLK1-like isoform X1	GO:0004672; GO:0005524; GO:0035556	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; intracellular signal transduction [GO:0035556]	LOC106580976
A0A1S3NS37	A0A1S3NS37_SALSA	serine/threonine-protein kinase DCLK1-like isoform X2	GO:0004672; GO:0005524; GO:0035556	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; intracellular signal transduction [GO:0035556]	LOC106580976
A0A1S3NS63	A0A1S3NS63_SALSA	serine/threonine-protein kinase DCLK1-like isoform X3	GO:0004672; GO:0005524; GO:0035556	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; intracellular signal transduction [GO:0035556]	LOC106580976
A0A1S3NSE7	A0A1S3NSE7_SALSA	vitronectin-like	GO:0005044; GO:0006955; GO:0030247	polysaccharide binding [GO:0030247]; scavenger receptor activity [GO:0005044]; immune response [GO:0006955]	LOC106581031
A0A1S3NSZ8	A0A1S3NSZ8_SALSA	LOW QUALITY PROTEIN: alpha-2-antiplasmin-like	GO:0005615	extracellular space [GO:0005615]	LOC106581172
A0A1S3NSX4	A0A1S3NSX4_SALSA	reticulon-4 receptor-like 1			LOC106581170
A0A1S3NST2	A0A1S3NST2_SALSA	roundabout homolog 2-like isoform X3			LOC106581145
A0A1S3NT78	A0A1S3NT78_SALSA	roundabout homolog 2-like isoform X1			LOC106581145
A0A1S3NTB8	A0A1S3NTB8_SALSA	roundabout homolog 2-like isoform X2			LOC106581145
A0A1S3NST1	A0A1S3NST1_SALSA	uncharacterized protein LOC106581144	GO:0001786; GO:0006886; GO:0006887; GO:0017137; GO:0070382	exocytic vesicle [GO:0070382]; phosphatidylserine binding [GO:0001786]; Rab GTPase binding [GO:0017137]; exocytosis [GO:0006887]; intracellular protein transport [GO:0006886]	LOC106581144
A0A1S3NSN2	A0A1S3NSN2_SALSA	immunoglobulin superfamily member 5-like	GO:0016021	integral component of membrane [GO:0016021]	LOC106581125
A0A1S3NT04	A0A1S3NT04_SALSA	tumor necrosis factor receptor superfamily member 19-like	GO:0016021	integral component of membrane [GO:0016021]	LOC106581115
A0A1S3NSG2	A0A1S3NSG2_SALSA	sacsin-like isoform X1			LOC106581114
A0A1S3NSG4	A0A1S3NSG4_SALSA	sacsin-like isoform X2			LOC106581114
A0A1S3NU44	A0A1S3NU44_SALSA	cyclin N-terminal domain-containing protein 2	GO:0005634	nucleus [GO:0005634]	cntd2
A0A1S3NUE5	A0A1S3NUE5_SALSA	neprilysin-like isoform X2	GO:0004222	metalloendopeptidase activity [GO:0004222]	LOC106581480
A0A1S3NUE6	A0A1S3NUE6_SALSA	neprilysin-like isoform X1	GO:0004222; GO:0016021	integral component of membrane [GO:0016021]; metalloendopeptidase activity [GO:0004222]	LOC106581480
A0A1S3NUT8	A0A1S3NUT8_SALSA	thyroid hormone-inducible hepatic protein			thrsp
A0A1S3NVC7	A0A1S3NVC7_SALSA	haptoglobin-like	GO:0004252	serine-type endopeptidase activity [GO:0004252]	LOC106581595 LOC106594032
A0A1S3NUZ7	A0A1S3NUZ7_SALSA	EH domain-containing protein 2-like isoform X1	GO:0005509; GO:0005525; GO:0030036; GO:0032456	calcium ion binding [GO:0005509]; GTP binding [GO:0005525]; actin cytoskeleton organization [GO:0030036]; endocytic recycling [GO:0032456]	LOC106581604
A0A1S3NVE2	A0A1S3NVE2_SALSA	EH domain-containing protein 2-like isoform X2	GO:0005509; GO:0005525; GO:0030036; GO:0032456	calcium ion binding [GO:0005509]; GTP binding [GO:0005525]; actin cytoskeleton organization [GO:0030036]; endocytic recycling [GO:0032456]	LOC106581604
A0A1S3NV14	A0A1S3NV14_SALSA	sciellin isoform X4	GO:0046872	metal ion binding [GO:0046872]	scel
A0A1S3NV31	A0A1S3NV31_SALSA	sciellin isoform X1	GO:0046872	metal ion binding [GO:0046872]	scel
A0A1S3NVH6	A0A1S3NVH6_SALSA	sciellin isoform X3	GO:0046872	metal ion binding [GO:0046872]	scel
A0A1S3NVH7	A0A1S3NVH7_SALSA	sciellin isoform X2	GO:0046872	metal ion binding [GO:0046872]	scel
A0A1S3NUY9	A0A1S3NUY9_SALSA	cis-aconitate decarboxylase	GO:0016829	lyase activity [GO:0016829]	irg1
A0A1S3NVF4	A0A1S3NVF4_SALSA	extended synaptotagmin-3-like isoform X2	GO:0006869; GO:0008289; GO:0016021; GO:0061817	integral component of membrane [GO:0016021]; lipid binding [GO:0008289]; endoplasmic reticulum-plasma membrane tethering [GO:0061817]; lipid transport [GO:0006869]	LOC106581688
A0A1S3NVW9	A0A1S3NVW9_SALSA	extended synaptotagmin-3-like isoform X1	GO:0006869; GO:0008289; GO:0016021; GO:0061817	integral component of membrane [GO:0016021]; lipid binding [GO:0008289]; endoplasmic reticulum-plasma membrane tethering [GO:0061817]; lipid transport [GO:0006869]	LOC106581688
A0A1S3NW28	A0A1S3NW28_SALSA	small membrane A-kinase anchor protein	GO:0016301; GO:0034237	kinase activity [GO:0016301]; protein kinase A regulatory subunit binding [GO:0034237]	cssa21h2orf88
A0A1S3NWH5	A0A1S3NWH5_SALSA	ankyrin and armadillo repeat-containing protein			ankar
A0A1S3NW23	A0A1S3NW23_SALSA	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	GO:0000139; GO:0006486; GO:0016021; GO:0016757; GO:0030246	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]; transferase activity, transferring glycosyl groups [GO:0016757]; protein glycosylation [GO:0006486]	galnt3
A0A1S3NVZ1	A0A1S3NVZ1_SALSA	cysteine/serine-rich nuclear protein 3-like isoform X1			LOC106581794
A0A1S3NWD1	A0A1S3NWD1_SALSA	cysteine/serine-rich nuclear protein 3-like isoform X2			LOC106581794
A0A1S3NWD5	A0A1S3NWD5_SALSA	UDP-glucuronosyltransferase-like	GO:0016021; GO:0016758	integral component of membrane [GO:0016021]; transferase activity, transferring hexosyl groups [GO:0016758]	LOC106581797
A0A1S3NVX2	A0A1S3NVX2_SALSA	retinol dehydrogenase 3-like isoform X1	GO:0016021	integral component of membrane [GO:0016021]	LOC106581784
A0A1S3NVZ8	A0A1S3NVZ8_SALSA	retinol dehydrogenase 3-like isoform X2	GO:0016021	integral component of membrane [GO:0016021]	LOC106581784
A0A1S3NWN5	A0A1S3NWN5_SALSA	glycerol-3-phosphate transporter-like isoform X1	GO:0005887; GO:0022857	integral component of plasma membrane [GO:0005887]; transmembrane transporter activity [GO:0022857]	LOC106581899
A0A1S3NWQ6	A0A1S3NWQ6_SALSA	glycerol-3-phosphate transporter-like isoform X2	GO:0005887; GO:0022857	integral component of plasma membrane [GO:0005887]; transmembrane transporter activity [GO:0022857]	LOC106581899
A0A1S3NWP3	A0A1S3NWP3_SALSA	Phosphodiesterase (EC 3.1.4.-)	GO:0004114; GO:0007165; GO:0046872	3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; metal ion binding [GO:0046872]; signal transduction [GO:0007165]	LOC106581900
A0A1S3NWR1	A0A1S3NWR1_SALSA	high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A-like isoform X4	GO:0004114; GO:0007165; GO:0046872	3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; metal ion binding [GO:0046872]; signal transduction [GO:0007165]	LOC106581900
A0A1S3NX22	A0A1S3NX22_SALSA	Phosphodiesterase (EC 3.1.4.-)	GO:0004114; GO:0007165; GO:0046872	3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; metal ion binding [GO:0046872]; signal transduction [GO:0007165]	LOC106581900
A0A1S3NX40	A0A1S3NX40_SALSA	Phosphodiesterase (EC 3.1.4.-)	GO:0004114; GO:0007165; GO:0046872	3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; metal ion binding [GO:0046872]; signal transduction [GO:0007165]	LOC106581900
A0A1S3NX04	A0A1S3NX04_SALSA	coagulation factor V-like isoform X2	GO:0005507; GO:0016491	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	LOC106581936
A0A1S3NXF1	A0A1S3NXF1_SALSA	coagulation factor V-like isoform X1	GO:0005507; GO:0016491	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	LOC106581936
A0A1S3NY70	A0A1S3NY70_SALSA	NAD(P)H dehydrogenase [quinone] 1-like			LOC106582049
A0A1S3NXZ7	A0A1S3NXZ7_SALSA	popeye domain-containing protein 3-like isoform X3	GO:0016021	integral component of membrane [GO:0016021]	LOC106582076
A0A1S3NY13	A0A1S3NY13_SALSA	popeye domain-containing protein 2-like isoform X2	GO:0016021	integral component of membrane [GO:0016021]	LOC106582076
A0A1S3NYC7	A0A1S3NYC7_SALSA	popeye domain-containing protein 3-like isoform X1	GO:0016021	integral component of membrane [GO:0016021]	LOC106582076
A0A1S3NXY7	A0A1S3NXY7_SALSA	phospholipase A1 member A-like isoform X2	GO:0005576; GO:0006629; GO:0046872; GO:0052689	extracellular region [GO:0005576]; carboxylic ester hydrolase activity [GO:0052689]; metal ion binding [GO:0046872]; lipid metabolic process [GO:0006629]	LOC106582073
A0A1S3NY08	A0A1S3NY08_SALSA	phospholipase A1 member A-like isoform X6	GO:0005576; GO:0006629; GO:0046872; GO:0052689	extracellular region [GO:0005576]; carboxylic ester hydrolase activity [GO:0052689]; metal ion binding [GO:0046872]; lipid metabolic process [GO:0006629]	LOC106582073
A0A1S3NY14	A0A1S3NY14_SALSA	phospholipase A1 member A-like isoform X3	GO:0005576; GO:0006629; GO:0046872; GO:0052689	extracellular region [GO:0005576]; carboxylic ester hydrolase activity [GO:0052689]; metal ion binding [GO:0046872]; lipid metabolic process [GO:0006629]	LOC106582073
A0A1S3NYB7	A0A1S3NYB7_SALSA	phospholipase A1 member A-like isoform X1	GO:0005576; GO:0006629; GO:0046872; GO:0052689	extracellular region [GO:0005576]; carboxylic ester hydrolase activity [GO:0052689]; metal ion binding [GO:0046872]; lipid metabolic process [GO:0006629]	LOC106582073
A0A1S3NYB8	A0A1S3NYB8_SALSA	phospholipase A1 member A-like isoform X4	GO:0005576; GO:0006629; GO:0046872; GO:0052689	extracellular region [GO:0005576]; carboxylic ester hydrolase activity [GO:0052689]; metal ion binding [GO:0046872]; lipid metabolic process [GO:0006629]	LOC106582073
A0A1S3NYC2	A0A1S3NYC2_SALSA	phospholipase A1 member A-like isoform X5	GO:0005576; GO:0006629; GO:0046872; GO:0052689	extracellular region [GO:0005576]; carboxylic ester hydrolase activity [GO:0052689]; metal ion binding [GO:0046872]; lipid metabolic process [GO:0006629]	LOC106582073
A0A1S3NYD2	A0A1S3NYD2_SALSA	Gap junction protein	GO:0005922; GO:0007154; GO:0016021	connexin complex [GO:0005922]; integral component of membrane [GO:0016021]; cell communication [GO:0007154]	LOC106582078
B5X7U1	B5X7U1_SALSA	DnaJ homolog subfamily C member 15 (dnaJ homolog subfamily C member 15-like)	GO:0016021	integral component of membrane [GO:0016021]	DCJ15 dcj15 LOC106582174
A0A1S3NYU8	A0A1S3NYU8_SALSA	transcription cofactor vestigial-like protein 3 isoform X1	GO:0005634; GO:0006355	nucleus [GO:0005634]; regulation of transcription, DNA-templated [GO:0006355]	LOC106582170 LOC106582222
A0A1S3NZ51	A0A1S3NZ51_SALSA	transcription cofactor vestigial-like protein 3 isoform X2	GO:0005634; GO:0006355	nucleus [GO:0005634]; regulation of transcription, DNA-templated [GO:0006355]	LOC106582222 LOC106582170
A0A1S3P0G7	A0A1S3P0G7_SALSA	cyclic AMP-dependent transcription factor ATF-2-like isoform X1	GO:0003677; GO:0003700; GO:0005634; GO:0006357	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; regulation of transcription by RNA polymerase II [GO:0006357]	LOC106582491
A0A1S3P0H0	A0A1S3P0H0_SALSA	cyclic AMP-dependent transcription factor ATF-2-like isoform X2	GO:0003677; GO:0003700; GO:0005634; GO:0006357	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; regulation of transcription by RNA polymerase II [GO:0006357]	LOC106582491
A0A1S3P0I9	A0A1S3P0I9_SALSA	cyclic AMP-dependent transcription factor ATF-2-like isoform X3	GO:0003677; GO:0003700; GO:0005634; GO:0006357	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; regulation of transcription by RNA polymerase II [GO:0006357]	LOC106582491
A0A1S3P0P0	A0A1S3P0P0_SALSA	growth/differentiation factor 3	GO:0005576; GO:0008083	extracellular region [GO:0005576]; growth factor activity [GO:0008083]	gdf3
A0A1S3P0L4	A0A1S3P0L4_SALSA	protein FAM177A1-like			LOC106582511
A0A1S3P1N4	A0A1S3P1N4_SALSA	inhibin beta B chain-like	GO:0005576; GO:0008083	extracellular region [GO:0005576]; growth factor activity [GO:0008083]	LOC106582672
A0A1S3P1G8	A0A1S3P1G8_SALSA	interleukin-17 receptor D-like isoform X2	GO:0030368	interleukin-17 receptor activity [GO:0030368]	LOC106582696
A0A1S3P1G9	A0A1S3P1G9_SALSA	interleukin-17 receptor D-like isoform X1	GO:0030368	interleukin-17 receptor activity [GO:0030368]	LOC106582696
A0A1S3P1K0	A0A1S3P1K0_SALSA	interleukin-17 receptor D-like isoform X3	GO:0030368	interleukin-17 receptor activity [GO:0030368]	LOC106582696
A0A1S3P1S1	A0A1S3P1S1_SALSA	interleukin-17 receptor D-like isoform X4	GO:0030368	interleukin-17 receptor activity [GO:0030368]	LOC106582696
A0A1S3P1T0	A0A1S3P1T0_SALSA	interleukin-17 receptor D-like isoform X5	GO:0030368	interleukin-17 receptor activity [GO:0030368]	LOC106582696
A0A1S3P249	A0A1S3P249_SALSA	sodium-coupled neutral amino acid transporter 3-like isoform X1	GO:0016021	integral component of membrane [GO:0016021]	LOC106582752
A0A1S3P251	A0A1S3P251_SALSA	sodium-coupled neutral amino acid transporter 3-like isoform X2	GO:0016021	integral component of membrane [GO:0016021]	LOC106582752
A0A1S3P228	A0A1S3P228_SALSA	hepatocyte growth factor-like protein	GO:0004252	serine-type endopeptidase activity [GO:0004252]	LOC106582772
A0A1S3P2M0	A0A1S3P2M0_SALSA	membrane metallo-endopeptidase-like 1	GO:0004222; GO:0016021	integral component of membrane [GO:0016021]; metalloendopeptidase activity [GO:0004222]	LOC106582826
A0A1S3P231	A0A1S3P231_SALSA	protein LSM14 homolog B-like isoform X2			LOC106582791
A0A1S3P263	A0A1S3P263_SALSA	protein LSM14 homolog B-like isoform X3			LOC106582791
A0A1S3P2C9	A0A1S3P2C9_SALSA	protein LSM14 homolog B-like isoform X1			LOC106582791
A0A1S3P2D5	A0A1S3P2D5_SALSA	uncharacterized protein LOC106582792	GO:0003723	RNA binding [GO:0003723]	LOC106582792
A0A1S3P3C3	A0A1S3P3C3_SALSA	inter-alpha-trypsin inhibitor heavy chain H3-like isoform X1	GO:0004867; GO:0030212	serine-type endopeptidase inhibitor activity [GO:0004867]; hyaluronan metabolic process [GO:0030212]	LOC106582936
A0A1S3P3C8	A0A1S3P3C8_SALSA	inter-alpha-trypsin inhibitor heavy chain H3-like isoform X2	GO:0004867; GO:0030212	serine-type endopeptidase inhibitor activity [GO:0004867]; hyaluronan metabolic process [GO:0030212]	LOC106582936
A0A1S3P3S4	A0A1S3P3S4_SALSA	Sodium/hydrogen exchanger	GO:0006885; GO:0015385; GO:0016021	integral component of membrane [GO:0016021]; sodium:proton antiporter activity [GO:0015385]; regulation of pH [GO:0006885]	LOC106583044
A0A1S3P3M8	A0A1S3P3M8_SALSA	protein-arginine deiminase type-2-like isoform X1	GO:0004668; GO:0005509; GO:0005737; GO:0018101	cytoplasm [GO:0005737]; calcium ion binding [GO:0005509]; protein-arginine deiminase activity [GO:0004668]; protein citrullination [GO:0018101]	LOC106583007
A0A1S3P3S3	A0A1S3P3S3_SALSA	protein-arginine deiminase type-2-like isoform X3	GO:0004668; GO:0005509; GO:0005737; GO:0018101	cytoplasm [GO:0005737]; calcium ion binding [GO:0005509]; protein-arginine deiminase activity [GO:0004668]; protein citrullination [GO:0018101]	LOC106583007
A0A1S3P3S6	A0A1S3P3S6_SALSA	protein-arginine deiminase type-2-like isoform X2	GO:0004668; GO:0005509; GO:0005737; GO:0018101	cytoplasm [GO:0005737]; calcium ion binding [GO:0005509]; protein-arginine deiminase activity [GO:0004668]; protein citrullination [GO:0018101]	LOC106583007
A0A1S3P3I9	A0A1S3P3I9_SALSA	rap1 GTPase-activating protein 1-like isoform X4	GO:0005096; GO:0051056	GTPase activator activity [GO:0005096]; regulation of small GTPase mediated signal transduction [GO:0051056]	LOC106583006
A0A1S3P3J5	A0A1S3P3J5_SALSA	rap1 GTPase-activating protein 1-like isoform X8	GO:0005096; GO:0051056	GTPase activator activity [GO:0005096]; regulation of small GTPase mediated signal transduction [GO:0051056]	LOC106583006
A0A1S3P3M0	A0A1S3P3M0_SALSA	rap1 GTPase-activating protein 1-like isoform X1	GO:0005096; GO:0051056	GTPase activator activity [GO:0005096]; regulation of small GTPase mediated signal transduction [GO:0051056]	LOC106583006
A0A1S3P3M3	A0A1S3P3M3_SALSA	rap1 GTPase-activating protein 1-like isoform X5	GO:0005096; GO:0051056	GTPase activator activity [GO:0005096]; regulation of small GTPase mediated signal transduction [GO:0051056]	LOC106583006
A0A1S3P3R3	A0A1S3P3R3_SALSA	rap1 GTPase-activating protein 1-like isoform X3	GO:0005096; GO:0051056	GTPase activator activity [GO:0005096]; regulation of small GTPase mediated signal transduction [GO:0051056]	LOC106583006
A0A1S3P3R6	A0A1S3P3R6_SALSA	rap1 GTPase-activating protein 1-like isoform X2	GO:0005096; GO:0051056	GTPase activator activity [GO:0005096]; regulation of small GTPase mediated signal transduction [GO:0051056]	LOC106583006
A0A1S3P3R8	A0A1S3P3R8_SALSA	rap1 GTPase-activating protein 1-like isoform X7	GO:0005096; GO:0051056	GTPase activator activity [GO:0005096]; regulation of small GTPase mediated signal transduction [GO:0051056]	LOC106583006
A0A1S3P3S1	A0A1S3P3S1_SALSA	rap1 GTPase-activating protein 1-like isoform X6	GO:0005096; GO:0051056	GTPase activator activity [GO:0005096]; regulation of small GTPase mediated signal transduction [GO:0051056]	LOC106583006
B5X1J5	B5X1J5_SALSA	Apolipoprotein F (apolipoprotein F isoform X1) (apolipoprotein F precursor)			APOF apof
A0A1S3P4W9	A0A1S3P4W9_SALSA	uncharacterized protein C1orf106 homolog isoform X1 (uncharacterized protein C1orf106 homolog isoform X2)	GO:0045087	innate immune response [GO:0045087]	LOC106583255
A0A1S3P531	A0A1S3P531_SALSA	uncharacterized protein C1orf106 homolog isoform X3	GO:0045087	innate immune response [GO:0045087]	LOC106583255
A0A1S3P541	A0A1S3P541_SALSA	uncharacterized protein C1orf106 homolog isoform X4	GO:0045087	innate immune response [GO:0045087]	LOC106583255
A0A1S3P507	A0A1S3P507_SALSA	probable G-protein coupled receptor 25	GO:0004930; GO:0016021	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	LOC106583244
A0A1S3P727	A0A1S3P727_SALSA	coiled-coil domain-containing protein 63 isoform X1			ccdc63
A0A1S3P729	A0A1S3P729_SALSA	coiled-coil domain-containing protein 63 isoform X4			ccdc63
A0A1S3P742	A0A1S3P742_SALSA	coiled-coil domain-containing protein 63 isoform X3			ccdc63
A0A1S3P776	A0A1S3P776_SALSA	coiled-coil domain-containing protein 63 isoform X2			ccdc63
A0A1S3P737	A0A1S3P737_SALSA	paxillin-like isoform X2	GO:0046872	metal ion binding [GO:0046872]	LOC106583570
A0A1S3P772	A0A1S3P772_SALSA	paxillin-like isoform X1	GO:0046872	metal ion binding [GO:0046872]	LOC106583570
A0A1S3P6Z8	A0A1S3P6Z8_SALSA	citron Rho-interacting kinase-like isoform X3	GO:0016301; GO:0035556; GO:0046872	kinase activity [GO:0016301]; metal ion binding [GO:0046872]; intracellular signal transduction [GO:0035556]	LOC106583567
A0A1S3P707	A0A1S3P707_SALSA	citron Rho-interacting kinase-like isoform X1	GO:0016301; GO:0035556; GO:0046872	kinase activity [GO:0016301]; metal ion binding [GO:0046872]; intracellular signal transduction [GO:0035556]	LOC106583567
A0A1S3P709	A0A1S3P709_SALSA	citron Rho-interacting kinase-like isoform X4	GO:0016301; GO:0035556; GO:0046872	kinase activity [GO:0016301]; metal ion binding [GO:0046872]; intracellular signal transduction [GO:0035556]	LOC106583567
A0A1S3P713	A0A1S3P713_SALSA	citron Rho-interacting kinase-like isoform X5	GO:0016301; GO:0035556; GO:0046872	kinase activity [GO:0016301]; metal ion binding [GO:0046872]; intracellular signal transduction [GO:0035556]	LOC106583567
A0A1S3P725	A0A1S3P725_SALSA	citron Rho-interacting kinase-like isoform X7	GO:0016301; GO:0035556; GO:0046872	kinase activity [GO:0016301]; metal ion binding [GO:0046872]; intracellular signal transduction [GO:0035556]	LOC106583567
A0A1S3P760	A0A1S3P760_SALSA	citron Rho-interacting kinase-like isoform X2	GO:0016301; GO:0035556; GO:0046872	kinase activity [GO:0016301]; metal ion binding [GO:0046872]; intracellular signal transduction [GO:0035556]	LOC106583567
A0A1S3P764	A0A1S3P764_SALSA	citron Rho-interacting kinase-like isoform X6	GO:0016301; GO:0035556; GO:0046872	kinase activity [GO:0016301]; metal ion binding [GO:0046872]; intracellular signal transduction [GO:0035556]	LOC106583567
A0A1S3P6W4	A0A1S3P6W4_SALSA	protransforming growth factor alpha-like isoform X2	GO:0016021	integral component of membrane [GO:0016021]	LOC106583550
A0A1S3P6W8	A0A1S3P6W8_SALSA	protransforming growth factor alpha-like isoform X3	GO:0016021	integral component of membrane [GO:0016021]	LOC106583550
A0A1S3P711	A0A1S3P711_SALSA	protransforming growth factor alpha-like isoform X1	GO:0016021	integral component of membrane [GO:0016021]	LOC106583550
A0A1S3P6V1	A0A1S3P6V1_SALSA	haloacid dehalogenase-like hydrolase domain-containing protein 3	GO:0016787	hydrolase activity [GO:0016787]	hdhd3
A0A1S3P6C9	A0A1S3P6C9_SALSA	transmembrane protein 82-like	GO:0016021	integral component of membrane [GO:0016021]	LOC106583466
A0A1S3P6E5	A0A1S3P6E5_SALSA	extensin-like			LOC106583456
A0A1S3P5V9	A0A1S3P5V9_SALSA	protein B4	GO:0000786; GO:0003677; GO:0005634; GO:0006334	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; nucleosome assembly [GO:0006334]	LOC106583382
A0A1S3P657	A0A1S3P657_SALSA	inter-alpha-trypsin inhibitor heavy chain H3-like isoform X1			LOC106583443
A0A1S3P666	A0A1S3P666_SALSA	inter-alpha-trypsin inhibitor heavy chain H3-like isoform X2			LOC106583443
A0A1S3P767	A0A1S3P767_SALSA	keratin, type II cytoskeletal 8-like	GO:0045095	keratin filament [GO:0045095]	LOC106583604
A0A1S3P7T2	A0A1S3P7T2_SALSA	protein-glutamine gamma-glutamyltransferase 2-like isoform X1	GO:0003810; GO:0018149; GO:0046872	metal ion binding [GO:0046872]; protein-glutamine gamma-glutamyltransferase activity [GO:0003810]; peptide cross-linking [GO:0018149]	LOC106583691
A0A1S3P7X2	A0A1S3P7X2_SALSA	protein-glutamine gamma-glutamyltransferase 2-like isoform X2	GO:0003810; GO:0018149; GO:0046872	metal ion binding [GO:0046872]; protein-glutamine gamma-glutamyltransferase activity [GO:0003810]; peptide cross-linking [GO:0018149]	LOC106583691
A0A1S3P814	A0A1S3P814_SALSA	L-rhamnose-binding lectin CSL3-like	GO:0030246	carbohydrate binding [GO:0030246]	LOC106583725
A0A1S3P8A0	A0A1S3P8A0_SALSA	L-rhamnose-binding lectin CSL3-like	GO:0030246	carbohydrate binding [GO:0030246]	LOC106583757
A0A1S3P862	A0A1S3P862_SALSA	L-rhamnose-binding lectin CSL3-like	GO:0030246	carbohydrate binding [GO:0030246]	LOC106583760
A0A1S3P9H4	A0A1S3P9H4_SALSA	angiopoietin-related protein 3-like			LOC106584028
A0A1S3P9F9	A0A1S3P9F9_SALSA	dedicator of cytokinesis protein 7 isoform X2	GO:0005085; GO:0007264	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	LOC106584026
A0A1S3P9G4	A0A1S3P9G4_SALSA	dedicator of cytokinesis protein 7 isoform X7	GO:0005085; GO:0007264	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	LOC106584026
A0A1S3P9G9	A0A1S3P9G9_SALSA	dedicator of cytokinesis protein 7 isoform X12	GO:0005085; GO:0007264	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	LOC106584026
A0A1S3P9J2	A0A1S3P9J2_SALSA	dedicator of cytokinesis protein 7 isoform X1	GO:0005085; GO:0007264	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	LOC106584026
A0A1S3P9J7	A0A1S3P9J7_SALSA	dedicator of cytokinesis protein 7 isoform X6	GO:0005085; GO:0007264	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	LOC106584026
A0A1S3P9K3	A0A1S3P9K3_SALSA	dedicator of cytokinesis protein 7 isoform X11	GO:0005085; GO:0007264	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	LOC106584026
A0A1S3P9L1	A0A1S3P9L1_SALSA	dedicator of cytokinesis protein 7 isoform X3	GO:0005085; GO:0007264	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	LOC106584026
A0A1S3P9L5	A0A1S3P9L5_SALSA	dedicator of cytokinesis protein 7 isoform X8	GO:0005085; GO:0007264	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	LOC106584026
